               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  92,            0.039162,            0.032288,                   0,             0.85656,             0.63066,             0.72923,             0.45702,            0.038565,            0.030219,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,            0.038885,            0.032281,                   0,             0.86861,             0.62401,             0.72946,             0.45738,             0.03854,            0.030213,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,             0.03884,            0.031848,                   0,             0.86228,             0.62792,             0.73003,             0.45818,            0.038513,            0.030197,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,            0.038729,            0.031656,                   0,             0.86429,              0.6285,               0.731,             0.45834,            0.038493,            0.030177,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,             0.03892,             0.03185,                   0,             0.87164,             0.62501,             0.73057,             0.45847,            0.038475,            0.030164,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,            0.038944,            0.031933,                   0,             0.86535,             0.62883,             0.73101,             0.45892,            0.038446,            0.030151,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.038749,            0.031786,                   0,             0.86611,             0.62916,              0.7315,             0.45906,            0.038424,            0.030145,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,            0.038849,            0.031913,                   0,             0.86059,             0.63157,              0.7316,              0.4592,            0.038403,            0.030141,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,            0.038651,            0.031378,                   0,             0.87797,             0.62176,             0.73152,             0.45934,            0.038382,            0.030128,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,             0.03857,            0.031227,                   0,             0.88134,             0.62061,             0.73124,             0.46003,            0.038359,            0.030125,                   0,             0.00775,             0.00775,             0.00775
                 102,            0.038568,            0.031466,                   0,             0.88074,             0.62052,             0.73118,             0.46028,            0.038337,            0.030113,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,            0.038442,            0.031634,                   0,             0.88089,             0.62102,             0.73164,             0.46027,            0.038318,            0.030105,                   0,           0.0076679,           0.0076679,           0.0076679
                 104,            0.038608,            0.031448,                   0,             0.87814,             0.62268,              0.7316,             0.46016,            0.038301,            0.030096,                   0,           0.0076265,           0.0076265,           0.0076265
                 105,            0.038514,            0.031233,                   0,             0.87787,             0.62351,             0.73207,             0.46103,            0.038284,            0.030093,                   0,           0.0075848,           0.0075848,           0.0075848
                 106,             0.03849,             0.03154,                   0,             0.88135,             0.62153,             0.73227,             0.46126,            0.038267,            0.030087,                   0,            0.007543,            0.007543,            0.007543
                 107,            0.038483,            0.031279,                   0,             0.87921,             0.62234,             0.73202,             0.46124,             0.03825,            0.030084,                   0,           0.0075009,           0.0075009,           0.0075009
                 108,            0.038386,            0.031659,                   0,             0.87572,             0.62426,             0.73217,             0.46147,            0.038237,            0.030077,                   0,           0.0074585,           0.0074585,           0.0074585
                 109,             0.03831,            0.031378,                   0,              0.8577,              0.6334,             0.73203,             0.46167,            0.038224,            0.030073,                   0,            0.007416,            0.007416,            0.007416
                 110,            0.038459,            0.031464,                   0,             0.85715,             0.63371,             0.73251,             0.46185,             0.03821,            0.030068,                   0,           0.0073733,           0.0073733,           0.0073733
                 111,            0.038322,            0.031473,                   0,             0.86861,             0.62842,             0.73291,             0.46201,            0.038197,            0.030065,                   0,           0.0073303,           0.0073303,           0.0073303
                 112,            0.038244,            0.031181,                   0,             0.86814,             0.62858,             0.73322,              0.4619,            0.038186,            0.030066,                   0,           0.0072872,           0.0072872,           0.0072872
                 113,            0.038184,            0.031807,                   0,             0.85489,              0.6354,             0.73326,             0.46228,            0.038174,            0.030057,                   0,           0.0072438,           0.0072438,           0.0072438
                 114,            0.038094,            0.031173,                   0,             0.87209,             0.62617,             0.73348,             0.46242,            0.038161,            0.030051,                   0,           0.0072003,           0.0072003,           0.0072003
                 115,            0.038119,            0.031024,                   0,             0.86593,             0.62966,             0.73347,             0.46233,             0.03815,            0.030051,                   0,           0.0071566,           0.0071566,           0.0071566
                 116,             0.03806,            0.031214,                   0,             0.86534,             0.63025,             0.73369,             0.46273,             0.03814,            0.030046,                   0,           0.0071127,           0.0071127,           0.0071127
